agno, mes, dia, valor
2016,6,12,11.9
2016,6,13,11.4
2016,6,14,9.5
2016,6,15,9.3
2016,6,16,9.2
2016,6,17,9.8
2016,6,18,8.9
2016,6,19,7.2
2016,6,20,8
2016,6,21,9
2016,6,22,8.4
2016,6,23,8.1
2016,6,24,7.6
2016,6,25,7
2016,6,26,7.3
2016,6,27,9.3
2016,6,28,11.1
2016,6,29,7.6
2016,6,30,8.8
2016,7,1,10.4
2016,7,2,7.6
2016,7,3,9.1
2016,7,4,7.3
2016,7,5,7.4
2016,7,6,7.2
2016,7,7,8.1
2016,7,8,6.2
2016,7,9,9.1
2016,7,10,8
2016,7,11,9.8
2016,7,12,8.1
2016,7,13,9.7
2016,7,14,9.1
2016,7,15,6.9
2016,7,16,8.4
2016,7,17,8.2
2016,7,18,8
2016,7,19,8.8
2016,7,20,11.2
2016,7,21,10.8
2016,7,22,11.7
2016,7,23,11.5
2016,7,24,10.4
2016,7,25,10.3
2016,7,26,8.7
2016,7,27,12.9
2016,7,28,11.3
2016,7,29,10.9
2016,7,30,9.4
2016,7,31,11.2
2016,8,1,8.5
2016,8,2,10.3
2016,8,3,9.4
2016,8,4,9.9
2016,8,5,9.5
2016,8,6,9.3
2016,8,7,11.6
2016,8,8,10
2016,8,9,11.5
2016,8,10,11.2
2016,8,11,12.8
2016,8,12,11.8
2016,8,13,14.6
2016,8,14,13.2
2016,8,15,16.1
2016,8,16,13
2016,8,17,12.4
2016,8,18,8.6
2016,8,19,8
2016,8,20,7.8
2016,8,21,10.2
2016,8,22,12.5
2016,8,23,9.8
2016,8,24,11.1
2016,8,25,11.5
2016,8,26,11.2
2016,8,27,10.8
2016,8,28,11.9
2016,8,29,11.4
2016,8,30,12.9
2016,8,31,11.2
2016,9,1,8.2
2016,9,2,7.2
2016,9,3,8.9
2016,9,4,9.2
2016,9,5,10.3
2016,9,6,12.5
2016,9,7,14.6
2016,9,8,16
2016,9,9,16.9
2016,9,10,14.8
2016,9,11,13.3
2016,9,12,11.5
2016,9,13,11.7
2016,9,14,11.5
2016,9,15,12.8
2016,9,16,14.2
2016,9,17,13.5
2016,9,18,15.3
2016,9,19,17.3
2016,9,20,18.4
2016,9,21,17.3
2016,9,22,17.8
2016,9,23,17.1
2016,9,24,15.4
2016,9,25,14.2
2016,9,26,15.3
2016,9,27,15.7
2016,9,28,13.5
2016,9,29,13.5
2016,9,30,14.4
2016,10,1,14.6
2016,10,2,16.5
2016,10,3,15.5
2016,10,4,16.5
2016,10,5,17.2
2016,10,6,16.6
2016,10,7,16.3
2016,10,8,16.8
2016,10,9,16.7
2016,10,10,16.7
2016,10,11,17.3
2016,10,12,15.9
2016,10,13,16.8
2016,10,14,15.8
2016,10,15,14.3
2016,10,16,11.9
2016,10,17,11.3
2016,10,18,10.2
2016,10,19,11.4
2016,10,20,14.5
2016,10,21,17
2016,10,22,13
2016,10,23,14.1
2016,10,24,14
2016,10,25,16.2
2016,10,26,19.8
2016,10,27,20.4
2016,10,28,15
2016,10,29,18.8
2016,10,30,17.2
2016,10,31,14.3
2016,11,1,13.2
2016,11,2,16.8
2016,11,3,20.4
2016,11,4,22.6
2016,11,5,21.2
2016,11,6,20.6
2016,11,7,21.8
2016,11,8,20.4
2016,11,9,20.8
2016,11,10,21.2
2016,11,11,20.3
