agno, mes, dia, valor
2017,7,26,1.6
2017,7,27,2.6
2017,7,28,2.7
2017,7,29,3
2017,7,30,2.7
2017,7,31,5.3
2017,8,1,5.2
2017,8,2,4.2
2017,8,3,1.9
2017,8,4,5.6
2017,8,5,7.1
2017,8,6,5.3
2017,8,7,6.6
2017,8,8,3.7
2017,8,9,7.6
2017,8,10,6.9
2017,8,11,6.9
2017,8,12,2
2017,8,13,4.7
2017,8,14,1.4
2017,8,15,5.8
2017,8,16,2.6
2017,8,17,4.4
2017,8,18,5.7
2017,8,19,3.7
2017,8,20,1.3
2017,8,21,2.8
2017,8,22,5.6
2017,8,23,5.8
2017,8,24,7.7
2017,8,25,4.7
2017,8,26,4.2
2017,8,27,4.4
2017,8,28,7.4
2017,8,29,3.7
2017,8,30,2
2017,8,31,4.1
2017,9,1,6.8
2017,9,2,6.1
2017,9,3,9.4
2017,9,4,1.8
2017,9,5,4.2
2017,9,6,3.1
2017,9,7,2.8
2017,9,8,5.9
2017,9,9,5.2
2017,9,10,7.1
2017,9,11,1.9
2017,9,12,4.5
2017,9,13,9.4
2017,9,14,6.2
2017,9,15,3.1
2017,9,16,3.1
2017,9,17,6.4
2017,9,18,7.2
2017,9,19,8.9
2017,9,20,8.9
2017,9,21,4.3
2017,9,22,5.8
2017,9,23,6.8
2017,9,24,9.5
2017,9,25,7.3
2017,9,26,8.6
2017,9,27,8.4
2017,9,28,10.8
2017,9,29,12
2017,9,30,10.4
2017,10,1,7.7
2017,10,2,4.6
2017,10,3,6.2
2017,10,4,9
2017,10,5,6
2017,10,6,6
2017,10,7,9.1
2017,10,8,8
2017,10,9,6
2017,10,10,7.5
2017,10,11,4.7
2017,10,12,6
2017,10,13,4.7
2017,10,14,6.6
2017,10,15,9.3
2017,10,16,7.7
2017,10,17,6.2
2017,10,18,10.4
2017,10,19,7.3
2017,10,20,12.8
2017,10,21,6.2
2017,10,22,8.5
2017,10,23,11.3
2017,10,24,8.7
2017,10,25,8.6
2017,10,26,9.7
2017,10,27,8.4
2017,10,28,8.2
2017,10,29,9.4
2017,10,30,3.2
2017,10,31,5.4
2017,11,1,9.5
2017,11,2,11.3
2017,11,3,8.7
2017,11,4,10.6
2017,11,5,11.7
2017,11,6,11.3
2017,11,7,14.2
2017,11,8,14
2017,11,9,14
2017,11,10,10.1
2017,11,11,11.7
2017,11,12,11.8
2017,11,13,10.9
2017,11,14,12
2017,11,15,11.7
2017,11,16,7.8
2017,11,17,10.7
2017,11,18,9.2
2017,11,19,9.8
2017,11,20,11
2017,11,21,8
2017,11,22,10.6
2017,11,23,11.2
2017,11,24,9
2017,11,25,9.3
2017,11,26,11.6
2017,11,27,10.6
2017,11,28,10.8
2017,11,29,11.5
2017,11,30,11.5
2017,12,1,11.1
2017,12,2,10.3
2017,12,3,11.8
2017,12,4,10.9
2017,12,5,11.2
2017,12,6,10.6
2017,12,7,10.7
2017,12,8,11.6
2017,12,9,11
2017,12,10,13.1
2017,12,11,12.8
2017,12,12,12.6
2017,12,13,13.6
2017,12,14,11.8
2017,12,15,13.7
2017,12,16,12.9
2017,12,17,12
2017,12,18,12.9
2017,12,19,12.2
2017,12,20,13.2
2017,12,21,13
2017,12,22,12.7
2017,12,23,12.3
2017,12,24,11.2
2017,12,25,12.5
2017,12,26,12.8
2017,12,27,21.4
